Geneid,MM13,MM14,MM15,MM16,MM17,MM18,MM19,MM20,MM21
nbis-gene-447,17479,14239,11662,18450,13413,16178,20092,19566,17305
nbis-gene-448,25776,20599,17235,17871,12836,15900,5768,7717,8309
nbis-gene-449,12117,10537,7910,9171,6754,7917,4657,5622,6034
nbis-gene-450,15250,12024,10023,11570,8062,10042,6360,8466,8549
nbis-gene-451,38372,30534,25202,42476,29659,40122,18941,21009,20618
nbis-gene-452,62062,54596,46123,67093,52519,61902,49733,52002,48330
nbis-gene-453,46357,36622,29936,46367,31657,42269,21815,28101,26269
nbis-gene-454,11701,9090,7198,16058,10817,13685,22394,20435,19158
nbis-gene-455,16192,12577,11532,19747,14060,17722,32516,30542,27604
nbis-gene-456,3530,2934,2394,3167,2326,2969,4841,3650,3273
nbis-gene-457,11876,9479,8193,9308,6660,8330,12732,10757,9602
nbis-gene-458,719,515,543,953,756,745,580,827,791
nbis-gene-459,19891,15364,12479,26704,18749,24053,22993,23762,22754
nbis-gene-460,6614,5063,4007,8333,5650,6363,6492,6419,6038
nbis-gene-461,3059,2584,1945,4057,2658,3489,3576,3845,3641
nbis-gene-462,8,11,10,13,7,21,6,3,8
nbis-gene-463,52,45,37,28,25,35,24,27,27
nbis-gene-464,63,34,15,38,37,38,20,29,49
nbis-gene-465,1013,930,787,817,661,726,1414,1880,2230
nbis-gene-466,2395,2077,1715,2216,1713,1724,1666,1773,1786
nbis-gene-467,7969,6597,4991,6900,5050,5755,4432,4958,4580
nbis-gene-468,8669,6911,5700,7187,5115,6217,4638,5266,4983
nbis-gene-469,15334,13307,10684,9156,6980,8795,6283,7546,6975
nbis-gene-470,5057,4013,3081,9281,6733,7126,10615,10840,9411
nbis-gene-471,52644,46445,44329,29974,21755,27049,12343,17647,19127
nbis-gene-472,33709,30598,28915,16790,11475,14897,7429,10682,11767
nbis-gene-473,24941,24836,20935,11428,8138,8858,4495,6586,6895
nbis-gene-474,4158,3182,2457,3400,2299,3093,1223,1882,1911
nbis-gene-475,8865,6909,5412,6685,4938,6183,3115,4260,4412
nbis-gene-476,60653,54730,47041,52126,41081,45118,27818,40278,41996
nbis-gene-477,36379,34294,27203,35452,26734,29272,18361,26016,27190
nbis-gene-478,3906,3234,2433,3712,2442,3278,1309,1900,1800
nbis-gene-479,22259,18621,15719,37661,27946,37061,26082,30748,29124
nbis-gene-480,1574,1326,1054,2514,1997,2182,1220,1711,1581
nbis-gene-481,6045,5121,4156,8501,5885,7466,3978,5438,5482
nbis-gene-482,2245,1742,1480,2869,1807,2498,943,1470,1407
nbis-gene-483,6738,5688,4639,7465,5510,7739,3369,4177,4329
nbis-gene-484,14498,11828,9758,16218,11449,15970,7803,10164,9374
nbis-gene-485,2792,2495,2122,4242,3403,4064,4461,5137,4567
nbis-gene-486,3329,3041,2374,3504,2411,3173,2286,2744,2874
nbis-gene-487,26430,21851,17291,21079,14527,18608,11586,14971,14982
nbis-gene-488,14678,11970,10206,11093,8018,10053,8407,9855,9878
nbis-gene-489,50,48,40,135,112,113,446,414,336
nbis-gene-490,111,115,53,276,214,270,772,871,611
nbis-gene-491,871,828,594,1333,820,1199,2019,1820,1550
nbis-gene-492,2119,1894,1404,8490,6069,8294,28423,30807,24045
nbis-gene-493,5001,3890,3400,6916,4886,6040,7736,8387,7648
nbis-gene-494,2609,2099,1774,3322,2414,3254,3990,4062,3631
nbis-gene-495,27304,23306,20571,16160,11166,14104,12066,14619,14613
nbis-gene-496,30934,26642,24348,17069,12479,15445,11566,14885,15012
nbis-gene-497,43384,41762,35770,25166,18742,22931,19831,22173,21340
nbis-gene-498,15093,12664,10160,10195,7102,8604,5161,6072,5900
nbis-gene-499,3371,2890,2091,2027,1578,1560,1097,1164,1203
nbis-gene-500,8471,6405,5435,5340,3587,4966,2788,3489,3315
nbis-gene-501,17021,13536,11204,10744,6983,8965,5071,6192,5647
nbis-gene-502,12687,10034,8550,7257,5132,6208,3373,4187,3818
nbis-gene-503,30654,27246,22516,22516,15010,19662,22216,29648,30298
nbis-gene-504,6502,6037,4507,5055,4047,4922,3244,5007,4977
nbis-gene-505,34278,28699,22609,21002,15056,18351,11993,14058,14178
nbis-gene-506,10447,8581,7031,7461,5437,6434,4032,4626,4713
nbis-gene-507,3292,2809,2279,2126,1378,1649,1520,1731,1656
nbis-gene-508,28146,22069,18030,34571,23459,31890,22067,25179,23572
nbis-gene-509,6748,5994,4537,7973,5781,8576,6147,7200,6856
nbis-gene-510,8295,6836,5536,7520,5462,6704,5373,5721,5542
nbis-gene-511,8899,6730,5398,7003,4781,6152,3929,6160,6217
nbis-gene-512,16842,14682,11288,13391,9198,12042,8894,11867,11829
nbis-gene-513,5237,4668,4062,6675,4861,6277,3136,4927,5065
nbis-gene-514,11296,9894,8917,7267,5406,6727,6189,6792,6637
nbis-gene-515,6589,5959,5027,9433,6843,9027,7887,8917,8432
nbis-gene-516,1090,896,746,3059,2718,2684,6423,5920,5823
nbis-gene-517,2524,1461,1118,7922,7705,2496,9491,9519,9791
nbis-gene-518,4002,3279,2372,8016,5455,7969,5399,5344,5292
nbis-gene-519,8299,6815,5494,11937,7766,11613,5553,7538,7376
nbis-gene-520,10108,8375,6462,12615,8374,11310,4572,6399,6177
nbis-gene-521,2042,1531,1353,1530,1138,1419,873,1038,1053
nbis-gene-522,11412,9256,8016,11175,7524,10047,5272,7540,7662
nbis-gene-523,28524,23174,18588,18554,13184,16198,13502,14263,12499
nbis-gene-524,9660,8696,6918,8606,6494,8086,11436,11566,10053
nbis-gene-525,12588,11198,9109,11036,8735,9471,13968,13509,12434
nbis-gene-526,1682,1709,1116,1450,1179,1207,1921,1843,1661
nbis-gene-527,1910,1448,1170,1749,1298,1608,746,951,929
nbis-gene-528,6833,5895,4820,7065,4632,6745,4019,4478,4277
nbis-gene-529,7356,6953,5121,6483,4287,5921,3678,4150,3484
nbis-gene-530,10638,9174,7863,9238,6299,9050,10113,10976,9141
nbis-gene-531,7783,7674,6275,7246,5450,6733,9781,10069,8661
nbis-gene-532,279,261,167,266,226,255,418,408,374
nbis-gene-533,432,328,249,424,306,405,668,589,531
nbis-gene-534,132,85,108,158,100,148,195,248,194
nbis-gene-535,826,692,551,949,690,731,1214,1162,1009
nbis-gene-536,348,251,206,340,291,364,526,490,428
nbis-gene-537,887,780,667,1313,967,1216,1538,1685,1415
nbis-gene-538,208,153,169,186,167,142,245,272,271
nbis-gene-539,1836,1495,1372,1614,1376,1454,3178,2674,2660
nbis-gene-540,198,113,143,359,289,261,297,356,294
nbis-gene-541,237,220,119,361,255,222,254,288,260
nbis-gene-542,4239,3395,2787,2938,1904,2431,1506,2018,2023
nbis-gene-543,4100,2924,2592,3038,2072,2534,1543,1962,1712
nbis-gene-544,10969,8536,7054,6912,5079,6498,3303,3887,3882
nbis-gene-545,5106,4099,3241,3288,2152,2726,1522,1886,1839
nbis-gene-546,1522,1142,1036,905,624,863,522,559,579
nbis-gene-547,6128,4704,3757,3758,2404,3126,2156,2594,2647
nbis-gene-548,8298,6570,5654,6618,4800,6301,6189,6557,6097
nbis-gene-549,1681,1266,1183,1791,1272,1280,2317,2287,2104
nbis-gene-550,7547,5377,5046,6697,5580,5578,7950,8088,7943
nbis-gene-551,941,734,636,923,663,839,991,1097,953
nbis-gene-552,802,737,520,1285,1042,1176,1956,1934,1568
nbis-gene-553,727,491,420,1014,689,824,1112,1080,881
nbis-gene-554,75,36,40,81,43,60,61,68,65
nbis-gene-555,2572,2278,1818,2203,1871,1755,1339,1476,1556
nbis-gene-556,68777,68882,49523,38767,30842,41939,21849,31229,30236
nbis-gene-557,15340,12639,9845,11620,7882,10332,5038,6323,6472
nbis-gene-558,792,649,557,501,424,496,217,327,333
nbis-gene-559,2366,1960,1647,1681,1139,1532,915,1141,1117
nbis-gene-560,9079,7146,5719,40165,35283,32311,88563,75070,63114
nbis-gene-561,12336,9150,7697,51143,41810,43813,113632,102540,86082
nbis-gene-562,59476,48385,39760,262047,204288,261476,482340,433928,362773
nbis-gene-563,27334,20700,16762,74255,53531,74303,73062,73669,62014
