Geneid,MM13,MM14,MM15,MM16,MM17,MM18,MM19,MM20,MM21
nbis-gene-734,8477,6291,5688,11347,7396,10580,4700,6410,6496
nbis-gene-735,5511,4455,3740,4172,2937,3222,1575,2086,2081
nbis-gene-736,10021,8345,8667,18732,14400,19781,20080,24134,21461
nbis-gene-737,1601,1386,1283,3341,2450,2921,3439,3882,3527
nbis-gene-738,6456,5054,4622,12529,9102,11411,13142,16492,14493
nbis-gene-739,600,466,476,1238,1000,1279,1497,1854,1779
nbis-gene-740,409,312,235,1273,887,985,594,1042,990
nbis-gene-741,28186,30419,18979,27535,21812,26059,11650,16251,16835
nbis-gene-742,12,17,5,29,23,11,12,13,19
nbis-gene-743,4715,3868,3162,5483,3779,5363,29145,22197,16000
nbis-gene-744,748,552,472,1239,867,1026,7965,5787,3964
nbis-gene-745,1312,913,687,1897,1428,1759,10683,8176,6214
nbis-gene-746,634,493,465,2392,1659,2299,23925,17527,11370
nbis-gene-747,592,409,405,2263,1580,2233,24672,18821,12415
nbis-gene-748,697,497,433,2952,2098,3117,31743,24044,16988
nbis-gene-749,565,442,358,2815,1961,2542,29337,22511,16062
nbis-gene-750,357,300,234,1583,1226,1436,29776,24025,17135
nbis-gene-751,31042,24729,21666,13519,9423,11774,8286,10342,10814
nbis-gene-752,22090,20213,19944,16991,12823,16854,10704,14345,14207
nbis-gene-753,881,640,533,278,202,259,4418,2321,1481
nbis-gene-754,383,260,220,118,82,94,1260,731,397
nbis-gene-755,417,353,251,156,116,158,1436,838,545
nbis-gene-756,456,408,249,207,148,242,1922,1104,761
nbis-gene-757,315,268,218,167,112,165,1325,802,526
nbis-gene-758,20542,16310,13159,14794,11046,13509,7436,9366,9489
nbis-gene-759,520,393,356,742,595,531,566,645,624
nbis-gene-760,380,283,212,584,418,477,128,318,357
nbis-gene-761,327,272,233,500,384,396,195,348,342
nbis-gene-762,229,192,120,366,222,336,141,242,216
nbis-gene-763,1094,1020,1045,1158,908,1204,762,1259,1186
nbis-gene-764,198,111,92,170,166,127,128,174,197
nbis-gene-765,2562,2193,2158,1745,1159,1685,999,1355,1326
nbis-gene-766,42657,34963,29075,52870,38131,46471,34974,42065,42399
nbis-gene-767,28676,21844,18136,40010,29227,33577,20216,26817,29166
nbis-gene-768,430,328,282,414,316,351,428,489,421
nbis-gene-769,231,160,196,269,192,239,172,216,198
nbis-gene-770,27,22,15,45,19,34,81,71,89
nbis-gene-771,41,48,30,91,58,76,147,139,140
nbis-gene-772,81,43,33,88,74,150,212,224,195
nbis-gene-773,225,219,154,276,208,282,219,294,239
nbis-gene-774,395,385,314,573,333,462,293,477,421
nbis-gene-775,7453,6235,5134,9029,6936,8272,6419,8293,7836
nbis-gene-776,2130,1584,1242,3048,2139,2956,2941,3554,3589
nbis-gene-777,350,300,223,449,273,339,529,478,418
nbis-gene-778,2345,1923,1607,2972,2193,2914,2124,2547,2586
nbis-gene-779,8202,7265,6116,12122,8842,10777,6168,8940,8698
nbis-gene-780,1827,1436,1098,2726,1913,2650,2009,2527,2360
nbis-gene-781,16821,12049,10124,35533,28531,26321,21588,21157,20653
nbis-gene-782,21424,18547,17061,27228,20833,24873,21428,26160,24549
nbis-gene-783,1331,1003,900,2494,2089,2099,2678,2803,2758
nbis-gene-784,12521,10774,8494,7626,5210,5979,3691,4432,4293
nbis-gene-785,20665,16895,13580,16441,11229,13822,7432,9725,9074
nbis-gene-786,15751,12271,9862,15016,10041,12577,4485,6849,6860
nbis-gene-787,4951,4078,3183,4374,3075,3616,1700,2340,2323
nbis-gene-788,2210,1785,1631,3116,2025,2750,1284,1738,1981
nbis-gene-789,5915,5348,4551,6311,4635,5386,3290,4065,4020
nbis-gene-790,54595,44851,36206,70494,49207,65945,41844,43541,41508
nbis-gene-791,29363,24076,19307,17105,12466,13879,4829,7233,7373
nbis-gene-792,11876,8049,5787,3375,3033,812,1984,1910,2131
nbis-gene-793,5449,4646,3785,4985,3768,4098,2986,3924,3713
nbis-gene-794,2016,1639,1342,2634,1695,2380,916,1191,1216
nbis-gene-795,4107,3701,2894,5932,4572,5454,2744,3798,3864
nbis-gene-796,4368,3521,2793,2786,2277,2249,1681,2292,2111
nbis-gene-797,77078,63593,49771,102995,76429,93764,67937,80101,72732
nbis-gene-798,2776,2006,1587,2633,1793,2227,1584,2034,2113
nbis-gene-799,246,224,213,223,166,152,317,281,243
nbis-gene-800,16117,14642,13764,19006,13312,16083,18095,19081,18307
nbis-gene-801,4148,3262,2827,3617,2842,3373,3181,3747,3332
nbis-gene-802,2797,2259,1834,2141,1327,1893,1073,1303,1221
nbis-gene-803,545,431,350,353,244,177,196,218,219
nbis-gene-804,13508,12188,9818,7648,5753,6203,6345,7473,7398
nbis-gene-805,22940,18246,14005,47467,33306,41263,50404,54863,47961
nbis-gene-806,11821,10029,8560,5171,3587,4846,4655,5911,5400
nbis-gene-807,2056,1751,1285,1771,1453,1427,1179,1310,1241
nbis-gene-808,8739,8775,6880,6475,5613,5974,8035,7671,6649
nbis-gene-809,343,279,269,665,463,645,2715,1856,1261
nbis-gene-810,549,403,364,1121,855,1039,4069,3017,1994
nbis-gene-811,317,215,193,877,622,822,3955,2527,1811
nbis-gene-812,239,140,140,357,222,333,757,627,533
nbis-gene-813,1182,894,749,1258,1001,915,1262,1922,2269
nbis-gene-814,5329,4746,3802,7317,6204,7678,10770,12759,11082
nbis-gene-815,530,493,361,315,214,277,157,205,198
nbis-gene-816,60,33,15,42,42,23,35,34,31
nbis-gene-817,1067,1068,941,1322,981,1165,1112,1285,1285
nbis-gene-818,795,602,582,838,690,642,669,850,810
nbis-gene-819,237,163,183,244,192,215,207,248,237
nbis-gene-820,167,172,152,117,91,100,71,90,100
nbis-gene-821,10544,8428,6970,12188,8780,10651,14288,14244,13449
nbis-gene-822,295,213,127,311,259,94,295,321,301
nbis-gene-823,261,194,114,295,171,282,209,320,235
nbis-gene-824,86,86,71,95,84,92,69,82,71
nbis-gene-825,130,52,48,104,126,27,121,75,95
nbis-gene-826,162,81,73,158,117,163,164,117,163
nbis-gene-827,82,53,59,158,118,86,106,124,119
nbis-gene-828,5,4,6,18,5,5,5,7,1
nbis-gene-829,39,29,43,32,27,37,19,31,21
nbis-gene-830,19,5,0,6,10,0,7,4,2
nbis-gene-831,44,45,50,45,58,72,46,80,82
nbis-gene-832,14,17,9,11,22,15,12,22,22
nbis-gene-833,22,23,21,25,14,31,29,24,16
nbis-gene-834,262,197,162,147,103,112,66,75,93
nbis-gene-835,165,140,111,148,150,102,75,62,68
nbis-gene-836,38,21,17,23,20,10,13,7,11
nbis-gene-837,17,24,29,19,24,29,15,11,24
nbis-gene-838,95601,82741,61848,131180,86401,117716,12074,32416,41548
nbis-gene-839,11214,8734,7231,16792,11160,14819,1719,4418,6018
nbis-gene-840,4364,3680,2737,4737,3089,4124,1336,2176,2222
nbis-gene-841,2087,1613,1374,2818,1845,2136,947,1488,1509
nbis-gene-842,4921,4167,3896,5511,3878,5417,7825,7714,6979
nbis-gene-843,1409,1344,1030,1252,1015,1129,785,908,955
nbis-gene-844,5020,4450,3909,4753,3639,4394,3178,3847,3981
nbis-gene-845,1295,1051,953,1309,993,1025,801,998,967
nbis-gene-846,30443,29325,19561,6810,5013,6187,49212,38044,32033
nbis-gene-847,4097,3689,2761,2379,1622,2022,2776,3576,3495
nbis-gene-848,7101,5855,4609,2660,2099,2283,5264,6657,7052
nbis-gene-849,4614,3660,3222,4353,3084,3856,2001,3132,3263
nbis-gene-850,14540,10882,9096,14918,10308,13405,4953,8056,8677
nbis-gene-851,16726,12773,10488,20867,14622,18500,5019,8623,9889
nbis-gene-852,2444,2250,1842,2113,1515,1840,1219,1468,1343
nbis-gene-853,4414,3481,2815,3744,2763,3445,1966,2807,2555
nbis-gene-854,8975,7244,5790,8388,5599,6910,3700,4763,5105
nbis-gene-855,485,416,308,334,236,315,188,220,221
nbis-gene-856,3795,3148,2481,2766,2009,2339,2069,2164,1972
nbis-gene-857,6869,6040,4621,5656,3857,5098,3011,3376,3310
nbis-gene-858,2847,2343,2031,1823,1328,1810,891,1125,1160
nbis-gene-859,4379,3454,2366,3973,2975,2463,2666,2856,3313
nbis-gene-860,78249,63025,57875,67960,50964,59691,72387,76617,75138
nbis-gene-861,26795,21829,16651,27737,18777,25084,11751,14470,14396
nbis-gene-862,3339,2664,2162,5678,3894,5019,2763,3679,3661
nbis-gene-863,7089,5983,5132,5924,4640,5465,4741,6021,5206
nbis-gene-864,3655,2674,2516,2520,2064,2320,2030,2406,2321
nbis-gene-865,8181,5930,5427,5942,4310,4737,3981,4762,4690
nbis-gene-866,4019,3192,2722,2499,1714,2061,1570,1736,1664
nbis-gene-867,7429,5809,4773,4652,3427,3911,2097,3107,3147
nbis-gene-868,6641,4969,4382,4576,3203,3872,1351,2213,2343
nbis-gene-869,2943,2365,1935,2642,1885,2288,1035,1295,1396
nbis-gene-870,20019,15676,13065,29459,19941,27696,10753,16641,16610
nbis-gene-871,34584,26749,22123,47322,32873,40305,21121,30852,32844
nbis-gene-872,68119,52939,43866,62168,43461,58474,23517,31788,30655
nbis-gene-873,78183,76016,61324,35745,29130,30807,20097,30598,30160
nbis-gene-874,5945,4537,3399,8650,6148,7286,5551,6014,6345
nbis-gene-875,4841,3916,2928,4453,3409,3849,1836,2469,2625
nbis-gene-876,5764,5106,3524,5878,4541,4020,2036,3338,3530
nbis-gene-877,61110,47808,38407,45815,32802,39224,19659,25532,24446
nbis-gene-878,3339,2416,2001,2787,1903,2255,951,1434,1562
nbis-gene-879,4223,3461,2697,3755,2477,3457,1313,1971,1639
nbis-gene-880,22149,18477,14547,20089,14241,17605,6614,8627,9185
nbis-gene-881,6135,4967,4112,6131,4134,5135,1893,2798,3028
nbis-gene-882,27815,22244,17985,28934,19220,26123,13391,16138,15412
nbis-gene-883,34566,28971,22728,41489,29674,35555,32836,35373,31885
nbis-gene-884,19007,15619,12017,25803,17505,23710,16481,20012,17910
nbis-gene-885,5852,5091,4232,3797,2701,3307,1772,2214,2380
nbis-gene-886,12050,9419,8765,8113,5517,7572,5004,6430,6325
nbis-gene-887,19509,16183,12829,11635,8555,8514,6468,7656,7817
nbis-gene-888,17986,14617,11661,10213,7141,8782,4323,5392,5669
nbis-gene-889,47131,40565,32578,40439,29256,33393,24394,28783,28494
nbis-gene-890,81042,71819,57917,61046,42037,59429,34759,43870,43812
nbis-gene-891,20051,15864,13261,29906,21784,26773,17170,23398,23447
nbis-gene-892,29856,22534,18438,47077,34042,42862,22495,31535,32227
nbis-gene-893,8084,6150,4809,13892,9572,12740,5476,8624,8396
nbis-gene-894,11851,8874,6781,20827,15460,18044,10544,15432,15013
nbis-gene-895,43765,34497,29453,35756,23401,33143,15455,21547,19788
nbis-gene-896,52740,41117,33971,49165,32905,45605,17995,26144,26686
nbis-gene-897,382,299,236,344,220,259,154,179,195
nbis-gene-898,224,155,172,239,229,151,210,214,218
nbis-gene-899,115,81,88,146,109,103,173,190,157
nbis-gene-900,16159,11639,9258,20333,14745,17051,23292,25782,23585
nbis-gene-901,21658,16236,12712,28824,20216,26217,27427,34085,32155
nbis-gene-902,3324,2867,2266,2009,1494,1816,1308,1304,1186
nbis-gene-903,2836,2022,1794,1599,1163,1414,999,1266,1079
nbis-gene-904,4595,3449,3002,7955,5924,7696,5790,7580,7527
nbis-gene-905,21943,24655,18756,6435,4596,5717,5447,6629,5945
nbis-gene-906,10360,8864,7262,4255,2613,3640,1078,1689,2075
nbis-gene-907,4263,3499,2605,1682,1168,1467,425,678,818
nbis-gene-908,12933,12719,9139,4999,3915,4565,2068,3269,3380
nbis-gene-909,33092,26036,22152,34423,22856,33111,17507,24241,25602
nbis-gene-910,339,305,172,257,229,139,113,159,183
nbis-gene-911,10315,8191,6559,8232,5568,6958,3295,4149,3996
nbis-gene-912,25434,19931,16329,23096,15906,20446,7290,11358,11720
nbis-gene-913,3717,2714,2238,4064,2552,3478,1227,1900,2143
nbis-gene-914,36874,38626,24238,25942,20174,18988,20491,22448,21364
nbis-gene-915,26363,21099,17612,29374,22315,28269,15204,23803,23465
nbis-gene-916,24724,19152,14959,29138,20061,26173,11954,18591,19665
nbis-gene-917,28017,21345,17529,35027,24340,31740,13180,21316,22920
nbis-gene-918,11096,8679,6771,15164,11118,11841,5844,9484,10319
nbis-gene-919,4889,3764,3131,9392,7133,7892,6241,7814,7677
nbis-gene-920,37531,33459,31106,31057,23336,28336,14594,22667,24070
nbis-gene-921,6796,5483,5333,6510,4609,5919,3165,5199,6010
nbis-gene-922,35339,38794,24675,27928,22879,22296,20457,23695,21724
nbis-gene-923,3755,3509,2806,3639,2741,3006,2096,2490,2489
nbis-gene-924,3090,2716,2091,2966,2179,2799,1610,2114,1915
nbis-gene-925,4556,3477,2763,4860,3343,4007,2296,2673,3006
nbis-gene-926,24368,20562,17051,14429,10193,13404,5884,9168,9234
nbis-gene-927,7835,6399,5158,4827,3390,4311,1576,2282,2465
nbis-gene-928,12391,10501,8618,8889,6131,8210,3419,4954,5216
nbis-gene-929,14272,12101,9921,11232,7485,10646,4428,6814,7169
nbis-gene-930,6551,5494,4472,5659,3859,5370,1866,2940,3066
nbis-gene-931,1301,1104,834,1332,859,1085,426,583,724
nbis-gene-932,9817,8157,6046,26543,21831,23471,23033,29172,25056
nbis-gene-933,2237,1906,2088,533,448,385,152,228,247
nbis-gene-934,13005,10812,8481,16918,11434,14908,11337,11679,10540
nbis-gene-935,4691,3757,3187,6879,5183,6149,5209,5203,5064
nbis-gene-936,8094,7501,6219,6985,5273,6276,3327,4553,4522
nbis-gene-937,14237,11791,11338,13626,9199,11528,6857,9988,10423
nbis-gene-938,7856,6754,6086,14635,10098,13334,9784,12605,13187
nbis-gene-939,9358,8211,7119,9061,7096,8711,5503,7043,7043
nbis-gene-940,611,449,385,517,326,480,558,516,591
nbis-gene-941,230,226,125,245,172,184,129,163,159
nbis-gene-942,403,304,273,352,297,384,203,237,190
nbis-gene-943,1398,1092,802,1557,981,1300,494,677,640
nbis-gene-944,398,285,220,597,350,483,189,213,195
nbis-gene-945,554,456,386,791,530,701,234,299,288
nbis-gene-946,241,189,157,372,279,342,101,171,134
nbis-gene-947,183,177,149,388,270,269,79,98,119
nbis-gene-948,1915,1911,1561,1239,956,995,375,575,578
nbis-gene-949,10231,8852,7426,5541,4155,4783,2944,4068,4097
nbis-gene-950,2885,2173,1575,1406,1036,1133,507,948,1084
nbis-gene-951,36,24,28,45,34,47,12,22,10
nbis-gene-952,2351,2043,1566,3606,2516,3128,1997,2642,2561
nbis-gene-953,32714,28113,22385,19403,14007,17304,7202,10379,10123
nbis-gene-954,18640,16469,15085,17701,12992,15347,12513,16270,16139
nbis-gene-955,4167,3394,2915,3944,2754,3370,1891,2622,2690
nbis-gene-956,5539,4438,3178,5104,3685,3265,1856,2531,2945
nbis-gene-957,31573,25416,20689,34440,23729,32444,13996,20181,21512
nbis-gene-958,8345,6446,4990,9334,6167,7772,4196,5651,5833
nbis-gene-959,3636,2600,2130,4080,3030,3226,2381,2830,2615
nbis-gene-960,111876,92391,77191,115301,84378,98600,60681,76261,76811
nbis-gene-961,98351,74534,58570,95579,71764,80732,40838,53119,54163
nbis-gene-962,19521,14606,11654,25940,19153,22994,11344,15235,15132
nbis-gene-963,17350,12767,11180,20842,15420,19607,8234,11862,11617
nbis-gene-964,5609,4467,3661,7185,5286,5246,2199,3151,3288
nbis-gene-965,37243,30627,25533,55518,39221,48737,29660,39484,40751
nbis-gene-966,14915,11678,10667,16574,12804,16151,7762,11885,13063
nbis-gene-967,35013,27565,25325,43375,31572,40024,26638,35076,37474
nbis-gene-968,17921,13850,12192,22980,17164,18435,16572,19635,19564
nbis-gene-969,6086,4849,3851,11706,7974,10485,8880,10710,11136
nbis-gene-970,7517,5963,5047,10034,8424,9110,10903,11244,9660
nbis-gene-971,4738,3777,3606,5069,3790,4274,3566,4075,4049
nbis-gene-972,3954,3108,3578,7021,5800,5721,4627,5833,6184
nbis-gene-973,16428,11034,11492,30672,22363,18820,16319,20751,23762
nbis-gene-974,34,17,8,32,37,26,10,28,12
nbis-gene-975,25,22,12,35,26,19,18,25,28
nbis-gene-976,664,507,397,353,204,245,125,134,134
nbis-gene-977,1475,1087,936,1478,1266,1287,842,902,930
nbis-gene-978,613,453,394,558,427,311,310,373,323
nbis-gene-979,2234,1785,1328,4686,3638,4366,2739,3217,3097
nbis-gene-980,1144,900,719,1943,1432,1595,978,1195,1182
nbis-gene-981,562,462,421,1077,801,849,500,600,580
nbis-gene-982,105,110,63,134,110,84,66,98,112
nbis-gene-983,124,146,106,148,107,150,81,91,108
nbis-gene-984,216,148,170,215,152,151,138,152,159
nbis-gene-985,31,15,9,25,23,5,5,11,14
nbis-gene-986,260,179,186,121,72,85,610,507,297
nbis-gene-987,1244,904,800,1209,1127,768,573,684,776
nbis-gene-988,303,235,156,265,196,149,178,168,231
nbis-gene-989,389,340,321,45,40,44,110,99,108
nbis-gene-990,660,477,534,43,58,59,222,203,140
nbis-gene-991,402,266,181,368,331,193,266,239,294
nbis-gene-992,265,266,256,160,141,146,148,187,132
nbis-gene-993,3062,2923,2425,207,132,171,341,359,254
nbis-gene-994,4983,4172,3497,9043,6053,8267,6976,7630,7092
nbis-gene-995,5001,4108,3415,10092,7109,9190,7679,7790,7511
nbis-gene-996,4420,3582,2872,10771,7331,9276,6841,6892,6729
nbis-gene-997,14889,12401,10162,15335,12168,13511,11744,14469,13710
nbis-gene-998,37324,29716,25434,35751,27217,33480,26815,34643,33024
nbis-gene-999,3433,2893,2199,2584,2037,2242,1835,2474,2327
nbis-gene-1000,4127,3224,2706,7057,4687,5868,5449,5686,5381
nbis-gene-1001,22514,22680,16283,28262,22539,27221,25657,31926,28481
nbis-gene-1002,9952,8180,6535,15063,10343,14006,13633,13950,12203
nbis-gene-1003,6223,5220,4392,10626,7485,9914,9378,10378,9460
nbis-gene-1004,1655,1300,941,2306,1910,1748,1628,1955,2149
nbis-gene-1005,840,820,583,1042,713,868,458,700,731
nbis-gene-1006,6837,6615,6029,8527,6718,8318,5228,7920,7492
nbis-gene-1007,20771,16157,13633,10708,7906,9730,5381,6873,6827
nbis-gene-1008,6795,5302,4169,3968,2730,3246,1327,1914,2032
nbis-gene-1009,2439,2131,1895,2267,1672,1678,1474,1834,1743
nbis-gene-1010,149,150,163,78,71,83,43,70,71
nbis-gene-1011,153,105,114,94,31,51,23,61,58
nbis-gene-1012,190,159,100,140,98,152,63,123,79
nbis-gene-1013,163,136,102,134,88,123,76,85,86
nbis-gene-1014,210,138,104,122,88,108,95,84,83
nbis-gene-1015,208,173,155,101,98,75,89,76,77
nbis-gene-1016,1225,889,906,469,357,498,365,487,473
nbis-gene-1017,252,219,176,302,200,220,173,240,245
nbis-gene-1018,14037,12822,10258,9562,7756,7648,4425,6892,7367
nbis-gene-1019,53078,53888,48820,35676,29133,33724,16366,25686,26477
nbis-gene-1020,3265,2577,2315,3256,2337,2578,1215,1947,1967
nbis-gene-1021,2119,1755,1472,2372,1832,2014,1236,1786,1787
nbis-gene-1022,2177,1538,1234,2777,1947,2248,1200,1979,2137
nbis-gene-1023,1522,1301,1035,1565,1254,1584,937,1334,1336
nbis-gene-1024,681,438,438,772,574,573,319,497,506
nbis-gene-1025,3846,2966,2832,4512,3146,4433,3847,5339,4921
nbis-gene-1026,1675,1384,1038,2644,1969,2295,1650,2122,1869
nbis-gene-1027,5464,4294,3484,8570,6686,7787,5467,6643,6490
nbis-gene-1028,7209,5907,4052,5395,3566,3405,1385,1835,2219
nbis-gene-1029,14002,11223,9076,11461,8722,9051,3204,4339,4559
nbis-gene-1030,8551,8448,6744,9758,7487,7256,4045,5900,5979
nbis-gene-1031,10492,7825,6440,13606,9528,13270,18634,18033,15556
nbis-gene-1032,10355,9260,7592,17132,14580,12940,8526,13928,13693
nbis-gene-1033,7811,7686,5313,3966,3320,3539,3429,3793,3464
nbis-gene-1034,6277,6007,4975,5551,4469,5034,5158,5666,5380
nbis-gene-1035,61254,51811,39983,37799,25792,30258,5866,11145,13454
nbis-gene-1036,1466,1342,809,1169,923,974,523,770,664
nbis-gene-1037,8348,6492,5515,13038,9243,12042,10754,11243,10942
nbis-gene-1038,5830,5406,4221,5578,4062,5259,4386,5149,4779
nbis-gene-1039,4982,3783,3188,5844,4242,5207,4887,5289,4955
nbis-gene-1040,4093,3425,2619,6827,5330,6075,7580,7965,7214
nbis-gene-1041,37162,32265,30480,51940,42360,51648,35375,47323,47034
nbis-gene-1042,3477,2844,2469,2628,2011,2431,3932,3882,3494
nbis-gene-1043,1487,1180,878,860,642,737,605,769,716
nbis-gene-1044,1090,746,621,623,508,438,358,419,452
nbis-gene-1045,1157,940,789,1088,696,859,476,676,683
nbis-gene-1046,937,759,663,716,541,624,345,498,460
nbis-gene-1047,1104,961,717,841,642,788,462,573,666
nbis-gene-1048,109214,96467,75101,101123,77229,93197,48104,63411,63760
nbis-gene-1049,123222,98356,83002,111605,82822,106313,48211,69361,68367
nbis-gene-1050,85289,71344,57305,77439,55400,73195,31511,44659,43526
nbis-gene-1051,116925,97478,78591,104280,76183,101503,38198,58929,57749
nbis-gene-1052,9936,7481,6265,15495,12603,13181,12297,14215,14074
nbis-gene-1053,8328,7810,7147,11379,8296,11185,5960,9753,9232
nbis-gene-1054,5266,3482,2789,8976,6057,6588,2300,3968,4625
nbis-gene-1055,42271,34678,28805,56726,39875,50626,22234,31254,30538
nbis-gene-1056,4646,3752,2880,6697,4771,6309,3034,4159,4012
nbis-gene-1057,852,858,564,7935,5545,7091,2764,4642,4637
nbis-gene-1058,894,910,692,8811,6241,8877,2989,5230,5257
nbis-gene-1059,239,185,145,186,144,107,243,258,183
nbis-gene-1060,98898,83326,68683,146723,117424,135652,125068,139274,139515
nbis-gene-1061,16271,13003,9497,22707,19040,17786,17742,20197,19528
nbis-gene-1062,5605,4029,3045,15296,13018,9725,13322,13164,13532
nbis-gene-1063,9709,7701,6738,6987,5152,6369,4964,5641,5530
nbis-gene-1064,26339,21699,18097,23193,21107,21035,32475,34535,29710
nbis-gene-1065,231,133,136,1117,1102,443,1814,1530,1645
nbis-gene-1066,10662,7039,7356,11427,8944,10565,9315,10690,9694
nbis-gene-1067,21437,14290,14640,24107,17446,21380,18341,22010,20217
nbis-gene-1068,5374,3793,3481,5702,4475,4652,4462,5185,4973
nbis-gene-1069,10105,8469,7348,11902,8410,9321,4458,5265,5116
nbis-gene-1070,16950,13169,12028,19870,13739,17796,6772,8167,8348
nbis-gene-1071,5000,3868,3554,6034,3796,5394,1822,2281,2411
nbis-gene-1072,5778,4684,3940,6808,4500,5652,2018,2512,2552
nbis-gene-1073,9988,8089,7160,11338,7913,10069,3594,4482,4445
nbis-gene-1074,13725,10789,9223,15803,10093,13909,4047,5199,5040
nbis-gene-1075,5761,4502,4097,6601,4120,5814,1376,1924,1991
nbis-gene-1076,612,479,396,682,436,481,110,156,190
nbis-gene-1077,1755,1345,1165,1684,1137,1508,377,529,512
nbis-gene-1078,10578,8329,7593,10661,6309,9812,2289,3306,3306
nbis-gene-1079,1555,1193,1017,1716,984,1459,413,531,616
nbis-gene-1080,7280,5777,5716,10944,8611,11041,13322,15405,14563
nbis-gene-1081,9516,8404,6414,14961,10737,13457,19297,23037,19599
nbis-gene-1082,65181,55027,41808,47969,39178,36376,14081,19608,21750
nbis-gene-1083,110219,96162,78051,88287,72822,76939,31413,41099,45230
nbis-gene-1084,26903,24261,18234,22514,18385,17414,9315,10522,11759
nbis-gene-1085,8431,8332,5412,7210,6012,6164,3155,3999,4179
nbis-gene-1086,5390,4652,4224,6425,4534,5857,4785,6810,6150
nbis-gene-1087,28529,22200,20086,35569,24932,34039,26471,35842,34479
nbis-gene-1088,10365,8909,7158,10920,7760,10646,9034,12064,11050
nbis-gene-1089,1107,985,714,854,556,711,373,342,386
nbis-gene-1090,87175,75427,61902,19249,12805,19192,18903,19361,15592
nbis-gene-1091,174,165,136,203,118,172,91,135,148
nbis-gene-1092,1480,1124,923,2716,2246,2209,1621,2651,2651
nbis-gene-1093,3388,2651,2364,5157,3248,4874,6300,6837,6444
nbis-gene-1094,5483,3662,3726,2883,2496,2717,1699,1747,1924
nbis-gene-1095,4287,2841,2684,2342,2019,1967,1679,1867,1693
nbis-gene-1096,1203,749,744,700,608,630,479,587,524
nbis-gene-1097,14303,13626,11662,13950,9957,11857,9791,11219,10978
nbis-gene-1098,5253,4392,3419,5535,3788,4682,2613,3106,3089
nbis-gene-1099,11754,9789,7915,12486,8613,11506,4243,5243,5551
nbis-gene-1100,4885,3943,2932,5070,3655,4150,1365,1856,2256
nbis-gene-1101,6329,5456,4080,5579,3896,5103,2683,3812,3787
nbis-gene-1102,1160,755,551,1821,1327,1369,760,812,821
nbis-gene-1103,1279,935,701,1296,1010,1058,902,928,920
nbis-gene-1104,429,288,257,714,459,496,611,620,701
nbis-gene-1105,317,262,197,457,348,344,241,262,247
nbis-gene-1106,3436,3018,2458,369,298,344,207,276,251
nbis-gene-1107,172,171,135,45,20,28,111,132,158
nbis-gene-1108,49,59,38,100,74,70,163,179,125
nbis-gene-1109,30,9,14,40,33,38,70,59,69
nbis-gene-1110,95,88,60,143,126,111,266,233,243
nbis-gene-1111,9986,9093,6419,8070,6866,6455,3643,4718,4391
nbis-gene-1112,8878,7053,6311,7698,5961,8061,3464,4878,4598
nbis-gene-1113,3714,3276,2822,5125,4087,4387,5448,5839,5384
nbis-gene-1114,607,482,494,2715,1887,2659,32281,25058,17672
nbis-gene-1115,134,109,108,201,172,233,172,174,210
nbis-gene-1116,3672,3279,2738,4786,3641,4600,5675,5365,5148
nbis-gene-1117,6072,5137,3980,5368,3989,4488,2619,3451,3291
nbis-gene-1118,5663,4274,3522,3576,2567,3010,1151,1649,1595
nbis-gene-1119,7284,6095,4972,7780,5541,6721,3213,3722,3996
nbis-gene-1120,15021,12759,10964,11787,8527,10947,6141,7921,7797
nbis-gene-1121,60,57,33,55,45,43,29,26,35
nbis-gene-1122,6306,5300,4060,6135,4169,5333,2097,2904,3185
nbis-gene-1123,8376,7043,5828,12396,9112,11403,5474,7479,8017
nbis-gene-1124,7910,5999,4942,12079,8502,10207,3895,5664,5939
nbis-gene-1125,6635,6052,5221,5852,4775,4479,5561,6226,6422
nbis-gene-1126,931,788,666,927,627,739,628,742,711
nbis-gene-1127,703,579,454,963,624,939,884,1010,869
nbis-gene-1128,14392,11712,12037,6832,5051,6350,5366,6565,6470
nbis-gene-1129,23405,20709,18028,25925,18819,23034,16032,21057,20775
nbis-gene-1130,15176,11198,9596,16904,12123,15969,8955,10774,10562
nbis-gene-1131,6153,4689,3881,7078,4789,6897,3175,4066,3925
nbis-gene-1132,2869,2096,1810,3850,2635,3505,1675,2205,2224
nbis-gene-1133,5635,4684,4000,8205,6010,7430,5748,6293,6049
nbis-gene-1134,5795,4313,3568,8163,5954,8768,5817,6724,6443
nbis-gene-1135,1153,869,700,1649,1193,1593,1269,1411,1367
nbis-gene-1136,1853,1578,1184,2535,2003,2265,1560,2145,2132
nbis-gene-1137,4545,3656,3020,7402,5333,7433,4727,6478,6868
nbis-gene-1138,7140,5864,4706,11799,8970,10885,8063,10015,10036
nbis-gene-1139,32541,26941,24744,28073,20580,25933,18577,23338,23130
nbis-gene-1140,140,80,130,152,119,145,116,158,113
nbis-gene-1141,18813,16958,13458,30139,26241,27796,27038,31328,29432
nbis-gene-1142,103526,92569,70339,76187,69510,57233,158692,141626,117528
nbis-gene-1143,10107,8674,7131,6474,4538,6200,4668,5107,4966
nbis-gene-1144,521,356,273,419,242,345,209,267,260
nbis-gene-1145,289,216,160,402,281,367,260,245,256
nbis-gene-1146,150,114,91,200,141,151,142,133,147
nbis-gene-1147,89,57,49,115,100,124,79,108,121
